Id ,Year,Car_Name,Price,Location,Fuel_Type,Gear_Type
421,2011,Maruti Suzuki Swift DZire VXi,"2,65,000",Delhi,Petrol,Manual
422,2018,Hyundai Verna 1.6 SX CRDI AT,"8,60,000",Delhi,Diesel,Automatic
423,2019,Hyundai Creta 1.6 SX Diesel,"11,65,000",Delhi,Diesel,Manual
424,2019,Mahindra XUV300 W8 Diesel,"7,00,000",Delhi,Diesel,Manual
425,2018,Tata Nexon Revotorq XZ Plus,"8,15,000",Delhi,Diesel,Manual
426,2018,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,"4,65,000",Gurugram,Petrol,Manual
427,2023,Citroen C3 Feel 1.2 Petrol,"5,85,000",Gurugram,Petrol,Manual
428,2020,Maruti Suzuki Wagon R LXi 1.0,"4,50,000",Gurugram,Petrol,Manual
429,2018,Maruti Suzuki Dzire VXi,"6,00,000",Gurugram,Petrol,Manual
430,2010,Volkswagen Polo Comfortline 1.2L (P),"1,50,000",Gurugram,Petrol,Manual
431,2017,Maruti Suzuki Vitara Brezza ZDi Plus,"7,25,000",Delhi,Diesel,Manual
432,2012,Maruti Suzuki Swift VXi,"2,65,000",Delhi,Petrol,Manual
433,2014,Honda City SV i-VTEC,"4,95,000",Gurugram,Petrol,Manual
434,2019,Maruti Suzuki Vitara Brezza VDi Opt,"7,25,000",Delhi,Diesel,Manual
435,2018,Volkswagen Polo Highline Plus 1.2 Petrol,"5,75,000",Gurugram,Petrol,Manual
